Title,Alternative title,Id
El-Hazard: The Magnificent World 2,,29220
ēlDLIVE,,8589
Elemental Gelade,Erementar Gerad,40621
Elf Seventeen,Elf 17,31921
Elfen Lied,,4100
Encouragement of Climb,Yama no Susume,30571
Encouragement of Climb Season 2,Yama no Susume: Second Season,28618
Encouragement of Climb: Next Summit,Yama no Susume: Next Summit,34322
Encouragement of Climb: Season 3,Yama no Susume: Third Season,28645
Endo and Kobayashi Live! The Latest on Tsundere Villainess Lieselotte,Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san,34901
Engage Kiss,,30895
Engaged to the Unidentified,Mikakunin de Shinkoukei,27176
Erased,Boku dake ga Inai Machi,36801
Ergo Proxy,,22159
Eromanga Sensei,,8777
Estab Life: Great Escape,,28745
Eternal Alice,Kagihime Monogatari Eikyuu Alice Rondo,16881
Etotama: Eto Tamashii,,1681
Eureka Seven,Koukyoushihen: Eureka Seven,25864
Eureka Seven AO,,22317
Everyday Is Sunday,Mainichi ga Nichiyoubi,31688
Ex-Arm,,20407
Extreme Hearts,,31330
Fairy Tail,,7261
Fairy Tail (2014),,1687
Fairy Tail: Final Series,Fairy Tail (2018),33538
Fantasia Sango: Realm of Legends,Gensou Sangokushi: Tengen Reishinki,29241
Farming Life in Another World,Isekai Nonbiri Nouka,34870
Fate/Apocrypha,,13353
Fate/Extra Last Encore,,14780
Fate/Grand Carnival,,28643
Fate/Grand Order Absolute Demonic Front: Babylonia,Fate/Grand Order: Zettai Majuu Sensen Babylonia,18126
Fate/kaleid liner Prisma Illya,,450
Fate/kaleid liner Prisma Illya 2wei!,,5315
Fate/Kaleid Liner Prisma Illya Drei!!,,6325
Fate/stay night,,5213
Fate/Stay Night: Unlimited Blade Works,,27245
Fate/Zero,,7706
Fate/Zero S2,,20646
Fena: Pirate Princess,Kaizoku Oujo,23541
Fight League: Gear Gadget Generators,,17803
Fighting Beauty Wulong,Kakutou Bijin Wulong,31576
Fighting Beauty Wulong Rebirth,,14546
Fighting Foodons,Kakutou Ryouri Densetsu Bistro Recipe,39754
Fire Emblem,,31900
Fire Force,En'en no Shouboutai,17363
Fire Force Season 2,Enen no Shouboutai: Ni no Shou,19313
Fireball Charming,,25592
Firefighter Daigo: Rescuer in Orange,Megumi no Daigo: Kyuukoku no Orange,38552
Fist of the North Star Part 2,Seikimatsu Kyuuseishu Densetsu: Hokuto no Ken 2,18463
FLCL,Furi Kuri,25923
FLCL Progressive,Furi Kuri Progressive,36223
Fluffy Paradise,Isekai de Mofumofu Nadenade suru Tame ni Ganbattemasu.,39741
Flying Witch,,26919
Food Wars! Shokugeki no Soma,Shokugeki no Souma,17518
Food Wars! Shokugeki no Soma: The Fourth Plate,Shokugeki no Souma: Shin no Sara,17929
Food Wars! The Fifth Plate,Shokugeki no Souma: Gou no Sara S5,19405
Food Wars! The Second Plate,Shokugeki no Souma: Ni no Sara,30468
Food Wars! The Third Plate,Shokugeki no Souma: San no Sara,14240
Fortune Quest: Yonimo Shiawase na Boukensha-tachi,Fortune Quest OVA,32078
Fractale,,9286
Frame Arms Girl,,8779
Free! - Iwatobi Swim Club,,4032
Free! Eternal Summer,,980
Freezing,,11034
Freezing Vibration,,4196
Frieren: Beyond Journey's End,Sousou no Frieren,38454
Fruits Basket (2001),,29402
Fruits Basket (2019),Fruits Basket 1st Season,24306
Fruits Basket (2019) Season 2,Fruits Basket 2nd Season,24651
Fruits Basket the Final Season,Fruits Basket (2019) Season 3,24681
Full Dive: This Ultimate Next-Gen Full Dive RPG Is Even Shittier than Real Life!,Kyuukyoku Shinka Shita Full Dive RPG ga Genjitsu Yori mo Kusoge Dattara,21739
Full Metal Panic!,Fullmetal Panic!,23025
Full Metal Panic! Invisible Victory,Fullmetal Panic! Invisible Victory,22345
Full Metal Panic! The Second Raid,Fullmetal Panic! The Second Raid,22997
Full Metal Panic? Fumoffu,Fullmetal Panic? Fumoffu,23012
Fullmetal Alchemist,,39893
Fullmetal Alchemist: Brotherhood,Hagane no Renkinjutsushi (2009),26781
Fuuka,,8537
Fuuto PI,Fuuto Tantei,31314
G-On Riders,,11623
Ga-Rei-Zero,,9079
Gabriel Dropout,,30545
Gad Guard,,27658
Gakuen Alice,,22646
Gal & Dino,Gal to Kyouryuu,26383
Gamba no Bouken,,30712
Gamers!,,10048
Gangsta.,,7733
Gantz,,14794
Garo -Vanishing Line-,,12843
Garo the Animation,Garo: Honoo no Kokuin,33279
Gatchaman,Kagaku Ninjatai Gatchaman,28791
Gatchaman Crowds,,135
Gate,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",28361
Geobreeders: (File-X) Get Back The Kitty,Geobreeders: File-X Chibi Neko Dakkan,35167
Geobreeders: Breakthrough,Geobreeders 2: Mouryou Yuugekitai File-XX Ransen Toppa,35171
Getter Robo Arc,,24874
Ghastly Prince Enma Burning Up,Dororon Enma-kun: Meeramera,20789
Ghost in the Shell Arise,,66
